passage_event,direction,lateral_crossing_offset_m
P0609,A,-491.434874
P0610,B,163.131853
P0611,B,91.782516
P0612,B,62.315861
P0613,A,-326.866382
P0614,B,71.396038
P0615,B,278.218602
P0616,B,147.564563
P0617,B,291.561993
P0618,A,-58.702026
P0619,B,-23.675624
P0620,B,-156.923840
P0621,B,191.486559
P0622,A,-268.674742
P0623,B,170.545219
P0624,A,-146.546018
P0625,B,409.428615
P0626,A,-139.502931
P0627,A,-61.110508
P0628,B,419.807550
P0629,B,472.439445
P0630,A,-213.633253
P0631,B,-120.599794
P0632,A,-115.781717
P0633,B,318.248776
P0634,A,-316.674255
P0635,B,-126.530931
P0636,A,-117.635337
P0637,B,50.454698
P0638,B,333.445786
P0639,A,173.325092
P0640,B,-214.374923
P0641,B,327.515761
P0642,B,48.230799
P0643,A,-231.054162
P0644,B,254.127109
P0645,A,-285.353981
P0646,A,153.680284
P0647,B,1.899209
P0648,A,-302.218915
P0649,B,154.977929
P0650,A,-162.483587
P0651,B,156.831548
P0652,A,-224.938441
P0653,A,-406.000476
P0654,B,-294.805549
P0655,A,-503.110341
P0656,B,412.023905
P0657,A,-363.190429
P0658,B,-214.930898
P0659,A,-351.514962
P0660,B,-0.138994
P0661,B,-265.153198
P0662,B,516.547136
P0663,A,-214.745202
P0664,B,204.829950
P0665,A,53.604850
P0666,B,134.962842
P0667,A,53.976241
P0668,B,-167.301663
P0669,A,-141.542246
P0670,B,8.200626
P0671,A,-532.021022
P0672,B,398.309123
P0673,A,-332.055850
P0674,B,313.430699
P0675,A,81.218998
P0676,B,63.242115
P0677,B,101.974643
P0678,A,-99.658453
P0679,B,327.330065
P0680,A,13.204398
P0681,B,-84.091163
P0682,A,-216.598822
P0683,A,-134.128880
P0684,B,27.289459
P0685,A,-392.101110
P0686,A,-254.033706
P0687,B,235.223972
P0688,A,-244.767832
P0689,A,4.494499
P0690,B,143.116766
P0691,A,-28.863979
P0692,B,388.116996
P0693,B,367.360239
P0694,A,-462.339609
P0695,B,372.364011
P0696,A,-35.165396
P0697,B,236.891896
P0698,A,410.540565
P0699,B,314.728344
P0700,A,-244.582137
P0701,B,457.242434
P0702,A,-80.199341
P0703,B,64.354064
P0704,A,-34.609421
P0705,B,54.346520
P0706,A,-575.758435
P0707,B,129.032817
P0708,B,22.099992
P0709,B,71.952013
P0710,A,-70.006102
P0711,B,314.912928
P0712,A,-5.698740
P0713,A,-267.192513
P0714,B,-10.146537
P0715,B,301.199258
P0716,A,-23.304233
P0717,B,274.326780
P0718,A,-153.402297
P0719,B,287.114196
P0720,A,-94.840377
P0721,B,181.664711
P0722,A,-191.764547
P0723,B,307.314979
P0724,A,-137.094449
P0725,B,223.177113
P0726,A,-310.187143
P0727,B,404.424844
P0728,B,270.250374
P0729,A,-17.744486
P0730,A,80.477328
P0731,A,-280.906183
P0732,B,142.004817
P0733,A,-176.197257
P0734,B,-65.002330
P0735,A,82.145252
P0736,B,83.071506
P0737,A,76.215227
P0738,B,183.332635
P0739,A,38.779231
P0740,A,-85.388808
P0741,B,107.349806
P0742,B,40.632850
P0743,A,-302.218915
P0744,B,66.392267
P0745,B,190.374610
P0746,B,-60.925924
P0747,B,-34.053446
P0748,A,-150.622424
P0749,B,-20.895751
P0750,B,-239.578365
P0751,B,147.194284
P0752,A,-401.922958
P0753,B,284.705714
P0754,A,-45.543218
P0755,B,-313.708687
P0756,A,-258.111223
P0757,B,316.952243
P0758,A,-231.980416
P0759,B,-18.300461
P0760,A,-344.287292
P0761,B,-76.493214
P0762,A,-447.142599
P0763,B,214.652910
P0764,A,-8.478613
P0765,A,-9.776258
P0766,B,17.281915
P0767,A,-229.942213
P0768,B,-39.242914
P0769,A,15.428296
P0770,B,66.021988
P0771,A,-240.320035
P0772,B,-3.104562
P0773,A,-77.419468
P0774,B,71.396038
P0775,B,116.429984
P0776,A,35.999358
P0777,A,-65.188026
P0778,B,107.349806
P0779,B,300.643283
P0780,B,-250.513274
P0781,A,-198.065963
P0782,B,-216.227430
P0783,A,-92.060504
P0784,B,371.993731
